name,type,link,about,member_since,address,phone,website,email,followers,tags,hours,title,error
Around the Clock Cannabis,MED,https://www.leafly.com/dispensary-info/around-the-clock-cannabis,We are conveniently located on Main St in Bozeman.  We offer a wide variety of strains for your medicinal needs. Please feel free to call with any questions!,LEAFLY MEMBER SINCE 2013,"2405 West Main Street, Suite 3, Bozeman, MT",call 1-406-587-5533,,,15,"[""Storefront"",""Medical""]","{""thursday"":""10am - 7pm"",""friday"":""10am - 7pm"",""saturday"":""10am - 5pm"",""sunday"":""Closed"",""monday"":""10am - 7pm"",""tuesday"":""10am - 7pm"",""wednesday"":""10am - 7pm""}",,
Lionheart Cannabis - Bozeman,MED & REC,https://www.leafly.com/dispensary-info/lionheart-caregiving,"Lionheart Cannabis is Montana’s premier cannabis dispensary, proudly serving both medical and recreational customers with top-tier flower, concentrates, edibles, and more. With locations across the state—including Missoula, Billings, Bozeman, Helena, Great Falls, Butte, Kalispell, Paradise Valley (Emigrant), and Four Corners—Lionheart offers unmatched selection and service.

Join our rewards program and earn points that spend like cash in-store. New customers get 20% off when they sign up! Enjoy rotating sales and daily deals, making every visit an opportunity to save on the products you love.",LEAFLY MEMBER SINCE 2014,"1117 N 7th ave Suite 1, Montana, Bozeman, MT",call 406-586-2837,https://lionheartcannabis.com/?utm_source=leafly.com&utm_medium=referral&utm_campaign=visit-website-link,info@lionheartcannabis.com,206,"["""",""Storefront"",""Veteran discount"",""Medical"",""Recreational""]","{""thursday"":""8:45am - 7:45pm"",""friday"":""8:45am - 7:45pm"",""saturday"":""8:45am - 7:45pm"",""sunday"":""8:45am - 7:45pm"",""monday"":""8:45am - 7:45pm"",""tuesday"":""8:45am - 7:45pm"",""wednesday"":""8:45am - 7:45pm""}",,
Ganja Goddess - Bozeman,MED & REC,https://www.leafly.com/dispensary-info/montana-budsf615,"Ganja Goddess (GGMT) is a women led, small business focused on integrity, quality, and consistency. All Montana natives, our leaders are close-knit and highly passionate about helping folks with the fantastic healing tool that is cannabis. A combined 20+ years of experience means we know our stuff, and want to pass that knowledge and expertise on to the client! Stop in to any of our four locations across Montana and chat to our staff about all things Cannabis - we'd love to talk to you!

Follow us on Instagram: @ganjagoddess.mt!",LEAFLY MEMBER SINCE 2014,"2006 W Babcock St, Bozeman, MT",call (406) 451-6061,,,90,"["""",""Storefront"",""Veteran discount"",""Medical"",""Recreational"",""Woman owned""]","{""thursday"":""10am - 7pm"",""friday"":""10am - 7pm"",""saturday"":""11am - 7pm"",""sunday"":""11am - 7pm"",""monday"":""10am - 7pm"",""tuesday"":""10am - 7pm"",""wednesday"":""10am - 7pm""}",,
Flower Montana - Missoula,MED & REC,https://www.leafly.com/dispensary-info/flower-montana,"Flower Dispensary Missoula is located smack-dab in the heart of Missoula. Get across town to any location within 10 minutes. Swinging by Southgate Mall for some shopping? We are located just across the street! In town for a Griz Game? Stock up 10 minutes away! 

At Flower, we are known for our excellent prices, and we set the bar for quality within the Montana Cannabis Industry. We are the local favorite, sporting ""Best of Missoula"" awards dating back to the beginning of the category's inception. 

We are proud to be Missoula's most-awarded dispensary.

BEST OF MISSOULA AWARDS
2017 Best Marijuana Dispensary
2017 Best Marijuana Dispensary (Missoula Independent)
2018 Best Medical Marijuana Provider
2019 Best Marijuana Dispensary 
2019 Best Alternative Healthcare Provider
2020 Best Alternative Healthcare Provider
2021 Best Marijuana Dispensary
2022 Best Retail Marijuana Dispensary
2022 Best Medical Marijuana Dispensary
2022 Best Alternative Healthcare Provider

OPEN 7 DAYS A WEEK!

QUALITY PRODUCTS
Looking for shatter? 
We have the blondest, highest-testing around. The quality is outstanding!

Flower? 
We carry a wide variety (14+ strains) on the shelf at any time and are regularly rotating the menu to always give you something new to look forward to. You will never get bored with the cut-only selection we grow, and we are always investing in the newest, hottest strains hitting other states/stores.

Grab-n-go
Our pre-rolls are perfectly packed, beautifully packaged, and just better than the rest (we use real flower-  not just shake- for these bad boys)! Not to mention, at $5/gram, you won't find a cheaper deal.

Distillate pens? 
We've got everything you could ever want! Single-use pods, jupiter c-cell powered .5g and full gram pen tips, THC/CBD ratio pens, terp pens... and the taste is out of this world!

The list goes on and on... tinctures, capsules, topicals, edibles (we have SO MANY AMAZING EDIBLES)! You cannot go wrong with a single item. Hand-crafted by the best to be the best.

WHO ARE WE?
At Flower, we have always prided ourselves in cannabis advocacy. We believe in a professional, tasteful approach, and you can always expect a clean, welcoming atmosphere when you swing by. 
We are highly engaged with the state legislature and are always voicing the needs of medical patients, recreational users, and small mom-and-pop business entrepreneurs like ourselves. 

MEDICAL PATIENTS
Let us connect you with a doctor for your medical card!
We can process your medical patient new/renewal paperwork for you!

Want to learn more? 
Our budtenders are highly trained to help you find the products best for you. Everyone has different tastes and likes, and we are excellent at helping you discover the items that give you the therapy you're looking for.",LEAFLY MEMBER SINCE 2014,"2710 Brooks Street, Missoula, MT",call 406-541-0420,https://www.flowermontana.com/?utm_source=leafly.com&utm_medium=referral&utm_campaign=visit-website-link,info@flowermontana.com,57,"["""",""Storefront"",""Medical"",""Recreational""]","{""thursday"":""9am - 7:45pm"",""friday"":""9am - 7:45pm"",""saturday"":""9am - 7:45pm"",""sunday"":""9am - 7:45pm"",""monday"":""9am - 7:45pm"",""tuesday"":""9am - 7:45pm"",""wednesday"":""9am - 7:45pm""}",,
MJ's Pot Shop,REC,https://www.leafly.com/dispensary-info/mjs-pot-shop,"MJ's Pot Shop is Pullman's first recreational marijuana store!  We feature state of the art everything, have multiple strains to choose from, and many different forms!  You will get amazing customer service and answers to your questions if you need help deciding.  New products rotate in on a weekly basis.  Make sure to check us out on our website, mjspotshoppullman.com!",LEAFLY MEMBER SINCE 2014,"1335 SE Bishop Blvd, Suite B, Pullman, WA",call (509) 332-5203,,,55,"[""Storefront"",""Recreational""]","{""thursday"":""10am - 10pm"",""friday"":""10am - 10pm"",""saturday"":""10am - 10pm"",""sunday"":""Closed"",""monday"":""10am - 10pm"",""tuesday"":""10am - 10pm"",""wednesday"":""10am - 10pm""}",,
Magic Tree Collective,REC,https://www.leafly.com/dispensary-info/magic-tree,"Washington’s newest, locally owned, one stop shop for the best cannabis at the best price! We take pride in the farms we choose to partner with and value customer satisfaction over everything else. Our owner began as a Budtender and wanted to build a new model of dispensary, one where the customer feels cared for, from the customer service to the product they choose. We don’t want you to feel pressured into a sale just for the sake of the sale. We want to ensure that you have a quality experience from beginning to end, and in doing so, be the change in the industry we want to see. We’re the dispensary with the owner who’s a stoner!",LEAFLY MEMBER SINCE 2014,"745 N Grand Ave, Suit#106, Pullman, WA",call (509) 339-6179,,,38,"["""",""Storefront"",""Veteran discount"",""Recreational""]","{""thursday"":""10am - 10pm"",""friday"":""10am - 10pm"",""saturday"":""10am - 10pm"",""sunday"":""10am - 10pm"",""monday"":""10am - 10pm"",""tuesday"":""10am - 10pm"",""wednesday"":""10am - 10pm""}",,
Greenfield Company - Recreational,MED & REC,https://www.leafly.com/dispensary-info/greenfield-company---recreational,"""Catering to people's needs is what we do,"" said David ""Shep"" Vache, a 27-year-old Spokane native. ""We ask and answer lots of questions.""

Greenfield Mercantile is currently the only cannabis retailer in Clarkston with certified medical consultants on staff. If a patient needs a medical card, we can produce it. Greenfield is Clarkston's first legal Cannabis store, and we're also known as Clarkston's friendliest. So, pay us a visit. We look forward to meeting you!",LEAFLY MEMBER SINCE 2014,"728 6th St, Clarkston, WA",call (509) 780-0009,http://www.greenfieldowl.com/?utm_source=leafly.com&utm_medium=referral&utm_campaign=visit-website-link,admin@greenfieldowl.com,37,"["""",""Storefront"",""Veteran discount"",""Medical"",""Recreational"",""Coming soon""]","{""thursday"":""8am - 10pm"",""friday"":""8am - 10pm"",""saturday"":""8am - 10pm"",""sunday"":""9am - 8pm"",""monday"":""8am - 10pm"",""tuesday"":""8am - 10pm"",""wednesday"":""8am - 10pm""}",,
TreeHouse Club,MED & REC,https://www.leafly.com/dispensary-info/treehouse-clube639,"Welcome to TreeHouse Club! We are a full service medical and recreational cannabis retailer. We offer a wide variety of products including premium cannabis in flower, concentrates, edibles, pre-rolls, cartridges, topicals, CBD products, and smoking accessories. Ask about our Loyalty Rewards, Daily Specials, and Holiday Sales. www.TreeHouseClub.buzz - 21 & over only.",LEAFLY MEMBER SINCE 2015,"14421 E Trent Ave, Spokane Valley, WA",call (509) 413-2169,http://www.treehouseclub.buzz/?utm_source=leafly.com&utm_medium=referral&utm_campaign=visit-website-link,sjb@treehouseclub.buzz,511,"["""",""Storefront"",""ADA accessible"",""Veteran discount"",""Medical"",""Recreational"",""Veteran owned""]","{""thursday"":""8am - 9pm"",""friday"":""8am - 9pm"",""saturday"":""8am - 9pm"",""sunday"":""9am - 8pm"",""monday"":""8am - 9pm"",""tuesday"":""8am - 9pm"",""wednesday"":""8am - 9pm""}",,
Lionheart Cannabis - Missoula,MED & REC,https://www.leafly.com/dispensary-info/lionsheart-caregiving-missoula,"Lionheart Cannabis is Montana’s premier cannabis dispensary, proudly serving both medical and recreational customers with top-tier flower, concentrates, edibles, and more. With locations across the state—including Missoula, Billings, Bozeman, Helena, Great Falls, Butte, Kalispell, Paradise Valley (Emigrant), and Four Corners—Lionheart offers unmatched selection and service.

Join our rewards program and earn points that spend like cash in-store. New customers get 20% off when they sign up! Enjoy rotating sales and daily deals, making every visit an opportunity to save on the products you love.",LEAFLY MEMBER SINCE 2015,"2007 Brooks St., Missoula, MT",call 406-944-4311,https://lionheartcannabis.com/?utm_source=leafly.com&utm_medium=referral&utm_campaign=visit-website-link,info@lionheartcannabis.com,226,"["""",""Storefront"",""ADA accessible"",""Veteran discount"",""Medical"",""Recreational""]","{""thursday"":""9am - 7:30pm"",""friday"":""9am - 7:30pm"",""saturday"":""9am - 7:30pm"",""sunday"":""9am - 7:30pm"",""monday"":""9am - 7:30pm"",""tuesday"":""9am - 7:30pm"",""wednesday"":""9am - 7:30pm""}",,
Lionheart Cannabis - Helena,MED & REC,https://www.leafly.com/dispensary-info/lionheart-caregiving-helena,"Lionheart Cannabis is Montana’s premier cannabis dispensary, proudly serving both medical and recreational customers with top-tier flower, concentrates, edibles, and more. With locations across the state—including Missoula, Billings, Bozeman, Helena, Great Falls, Butte, Kalispell, Paradise Valley (Emigrant), and Four Corners—Lionheart offers unmatched selection and service.

Join our rewards program and earn points that spend like cash in-store. New customers get 20% off when they sign up! Enjoy rotating sales and daily deals, making every visit an opportunity to save on the products you love.",LEAFLY MEMBER SINCE 2015,"1530 Prospect Ave, Helena, MT",call 406-551-4900,https://lionheartcannabis.com/?utm_source=leafly.com&utm_medium=referral&utm_campaign=visit-website-link,info@lionheartcannabis.com,167,"["""",""Storefront"",""ADA accessible"",""Veteran discount"",""Medical"",""Recreational""]","{""thursday"":""9am - 7:30pm"",""friday"":""9am - 7:30pm"",""saturday"":""10am - 5pm"",""sunday"":""10am - 5pm"",""monday"":""9am - 7:30pm"",""tuesday"":""9am - 7:30pm"",""wednesday"":""9am - 7:30pm""}",,
